image,link,title
/static/portals/free-to-use/public-domain/libraries/libraries-28.jpg,/resource/ppmscd.00084/,"Interior view of library reading room with male and female students sitting at tables, reading, at the Tuskegee Institute, Alabama. Photo by Frances B. Johnston, approx. 1902. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-29.jpg,/resource/highsm.18384/,"George Peabody Library, Johns Hopkins University, Baltimore, Maryland. Photo by Carol M.  Highsmith, 2012. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-30.jpg,/resource/g3851e.ct006252/,"Map of Libraries, Washington, D.C. Library of Congress, 1926. Geography & Map Division"
/static/portals/free-to-use/public-domain/libraries/libraries-31.jpg,/resource/ppmsca.35590/,"""Open Free to All"" is carved over the door of the Carnegie Public Library in Taunton, Massachusetts. Drawing by Albert R. Ross, approx. 1903. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-32.jpg,/resource/hhh.il0998.sheet/?sp=1,"Paxton Carnegie Library, Paxton, Illinois. Drawing, 2011. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-33.jpg,/resource/hhh.ok0012.sheet/?sp=8&q=hhh.ok0012,"Carnegie Library, Guthrie, Oklahoma. Cross section drawing, 1973. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-34.jpg,/resource/hhh.sc0767.photos/?sp=1,"Carnegie Free Library, Union, South Carolina. Photo by Jack Boucher, 1987. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-35.jpg,/resource/hhh.nj0089.photos/?sp=4,"Princeton University, Library, Princeton, New Jersey. Photo by Jack Boucher, 1964. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-36.jpg,/resource/highsm.31350/,"Public library in Shepherdstown, West Virginia. Photo by Carol M. Highsmith, 2015. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-37.jpg,/resource/hhh.ri0071.photos/?sp=8,"Redwood Library, Newport, Rhode Island. Photo by Cervin Robinson, 1970. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-38.jpg,/resource/highsm.48241/,"Cook Memorial Library, the public library of Tamworth, New Hampshire. Photo by Carol M. Highsmith, 2017. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-39.jpg,/resource/det.4a23603/,"Little Rock Public Library, Little Rock, Arkansas. Photo by Detroit Publishing Co., approx. 1910. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-40.jpg,/resource/highsm.04362/,"Public Library, Salt Lake City, Utah. Photo by Carol M. Highsmith, 2007. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-41.jpg,/resource/hhh.dc0121.photos/?sp=24,"Riggs Library, Georgetown University, Washington, DC. Historic American Buildings Survey. 1969. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-42.jpg,/resource/ppbd.00600/,"The People's Library, set up by the Occupy Wall Street protest movement in Zuccotti Park, New York City. Photo by Teri Sierra, 2011. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-43.jpg,/resource/fsa.8b14169/,"Newspaper reading room of public library. Omaha, Nebraska. Photo by John Vachon, 1938. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-44.jpg,/resource/highsm.32720/,"Dusk view, Rawlings Public Library, Pueblo, Colorado. Photo by Carol M. Highsmith, 2015. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-45.jpg,/resource/fsa.8c22565/,"Library tent at the Farm Security Administration mobile camp for migratory farm workers, Odell, Oregon. Photo by Russell Lee, 1941. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-46.jpg,/resource/mrg.00785/,"Parmly Billings Library (Western Heritage Center), Billings, Montana. Photo by John Margolies, 2004. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-47.jpg,/resource/hhh.ak0345.photos/?sp=2,"Juneau Public Library, Juneau, Alaska. Photo by Jet Lowe, 1991. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-48.jpg,/resource/highsm.43863/,"Historic library in the North Carolina Capitol in Raleigh. Photo by Carol M. Highsmith, 2017. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-49.jpg,/resource/highsm.42123/,"An upright polar bear in Cincinnati, Ohio, not at the zoo, since it's stuffed, but at Cincinnati's main library. Photo by Carol M. Highsmith, 2016. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-50.jpg,/resource/cph.3c18157/,"Carnegie Library, Sheldon, Iowa. 1909. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-51.jpg,/resource/ds.06507/,"Buffalo, New York, Public library. Children's room. Photo by Levin C. Handy, approx. 1900. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-52.jpg,/resource/highsm.24333/,"Tower of the Central Library, Los Angeles, California. Photo by Carol M. Highsmith, 2013. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-53.jpg,/resource/mrg.00788/,"Library, Dickason Street, Columbus, Wisconsin. Photo by John Margolies, 2008. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-54.jpg,/resource/highsm.20216/,"Norfolk Library, Norfolk, Connecticut. Photo by Carol M. Highsmith, 2011. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-55.jpg,/resource/cph.3b41963/,"Carnegie Library, Cordele, Georgia. Photo, approx. 1916. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-56.jpg,/resource/mrg.00432/,"Nampa Public Library, Nampa, Idaho. Photo by John Margolies, 2004. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-57.jpg,/resource/cph.3b39859/,"Louisiana Industrial Institute and College Library with students reading, Ruston, Louisiana. Photo, 1900-1920. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-58.jpg,/resource/highsm.60215/,"The public library, with a creative book-themed facade, in Houston, Minnesota. Photo by Carol Highsmith, 2019. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-59.jpg,/resource/ppmsca.15419/,"Book room, Carnegie library, St. Joseph, Missouri. Photo, 1900-1905. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-60.jpg,/resource/highsm.50410/,"You wouldn't guess that this is a public library, but it is, in Skynomish, Washington. Photo by Carol M. Highsmith, 2018. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-61.jpg,/resource/hhh.nv0134.photos,"Library (C425), looking SW - Hawthorne Naval Ammunition Depot, Babbitt Housing Area, Hawthorne, Nevada. Photo by Joe C. Freeman, 1992. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-62.jpg,/resource/highsm.18402,"Interior of the Hutzler Reading room located in Gilman Hall, Johns Hopkins University, Baltimore, Maryland. Photo by Carol M. Highsmith, 2012. Prints & Photographs Division"
